Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-15-5x2599z66m__iml04_vid_malc2_.h264,3.25079365,71.004988662,Malcolm X,Ryan Blake
cpb-aacip-15-5x2599z66m__iml04_vid_malc2_.h264,76,3,Applause,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,0.232199546,128,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,134.582857143,47,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,197.4,60.2,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,266.379319728,31.6,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,304.738684807,24.148752834,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,351.178594104,35.387210884,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,390.4,49.6,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,454.089433107,27.857596372,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,493,54.4,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,554.8,45.2,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,604,27.4,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,642.356825397,48.2,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,700.4,40,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,742.4,29.6,Malcolm X,Ryan Blake
cpb-aacip-15-6t0gt5fj99__barcode318380_clip2_.h264,780.6,4.4,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,21.9,16.38,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,42,3,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,607.56,35.76,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,682.56,157.92,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,878.16,105.84,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,993.84,93.6,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1094.28,23.7,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1120,8,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,1128.18,19,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1148,8,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,1156.14,22,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1180,4,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,1201.32,94.68,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1328.76,40.68,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1418.28,29.64,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1475.28,143.76,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1630,4,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,1710.48,104.4,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1824,2,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,1826.49,52,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1880.82,6,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1888,7,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,1896,11,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1909,8,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,1917.3,23,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1942,7,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,1950.6,15,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,1967,3,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,2110.634666666,39.509333333,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,2152.533333333,25.770666666,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,2185.898666666,358.352,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,2572.970666666,128.853333333,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,2705,7,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,2712.106666666,18,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,2731,5,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,2753.877333333,30,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,2790.15,10.62,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,2803,6,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,2848.8,83,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,2933,18,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,2951.381333333,68,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,3021,9,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,3030.4,9,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,3041,7,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,3048.064,25,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,3074,6,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,3099.96,25.14,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,3127,8,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,3135.24,24,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,3162,9,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,3173.205333333,2,Malcolm X,Ryan Blake
cpb-aacip-15-8605qxrw,3177,3,Applause,Ryan Blake
cpb-aacip-15-8605qxrw,3516,9.54,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,270.08,67.584,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,1018.624,171.2,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,1316.181333333,36.6,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,1361.066666667,8.2,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,1465.344,3.754666667,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,1469.781333333,17.749333333,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,1534.037333333,1.621333333,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,1538.389333333,34.304,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,1788.245333333,13.568,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,2287.530666667,104.021333333,Malcolm X,Ryan Blake
cpb-aacip-15-90r9m39q__231077_,2890.922666667,5.12,Malcolm X,Ryan Blake
