Media file basename,Start time,Duration,Label,Labeled by
20050328_fa_02,373,1,Music,Ryan Blake
20050328_fa_03,197,1,Background Speaker,Ryan Blake
20100226_fa_01,1310,1,Terry Gross,Ryan Blake
20130603_fa_01,2209,1,Terry Gross,Ryan Blake
20050328_fa_03,78,1,Background Speaker,Ryan Blake
20130603_fa_01,1687,1,Background Speaker,Ryan Blake
20091102_fa_01,1668,1,Background Speaker,Ryan Blake
20151212_fa_01,217,1,Silence,Ryan Blake
19930423_fa_01,199,1,Background Speaker,Ryan Blake
19940707_fa_01,1261,1,Background Speaker,Ryan Blake
19940707_fa_01,1046,1,Background Speaker,Ryan Blake
19990107_fa_01,352,1,Silence,Ryan Blake
20050328_fa_03,521,1,Terry Gross,Ryan Blake
19990107_fa_02,850,1,Background Speaker,Ryan Blake
20091102_fa_01,1307,1,Background Speaker,Ryan Blake
20100226_fa_02,78,1,Terry Gross,Ryan Blake
19990107_fa_01,482,1,Background Speaker,Ryan Blake
20050328_fa_03,321,1,Terry Gross,Ryan Blake
20030605_fa_02,724,1,Background Speaker,Ryan Blake
20130606_fa_01,271,1,Background Speaker,Ryan Blake
20100226_fa_02,270,1,Music,Ryan Blake
19930423_fa_02,13,1,Terry Gross,Ryan Blake
20050328_fa_02,463,1,Background Speaker,Ryan Blake
20130606_fa_01,1596,1,Terry Gross,Ryan Blake
19930423_fa_02,25,1,Terry Gross,Ryan Blake
20030605_fa_02,289,1,Background Speaker,Ryan Blake
20091102_fa_01,666,1,Background Speaker,Ryan Blake
20030605_fa_02,723,1,Background Speaker,Ryan Blake
20030605_fa_02,26,1,Terry Gross,Ryan Blake
20100226_fa_02,305,1,Music,Ryan Blake
20050328_fa_03,232,1,Background Speaker,Ryan Blake
19940707_fa_01,121,1,Background Speaker,Ryan Blake
19990107_fa_01,1262,1,Background Speaker,Ryan Blake
20131003_fa_01,643,1,Terry Gross,Ryan Blake
20030605_fa_01,465,1,Background Speaker,Ryan Blake
20030605_fa_01,1017,1,Background Speaker,Ryan Blake
20030605_fa_01,1406,1,Background Speaker,Ryan Blake
20100226_fa_02,195,1,Background Speaker,Ryan Blake
19990331_fa_01,768,1,Terry Gross,Ryan Blake
19930423_fa_02,116,1,Background Speaker,Ryan Blake
20130606_fa_01,1657,1,Background Speaker,Ryan Blake
20050328_fa_03,459,1,Background Speaker,Ryan Blake
19990107_fa_01,807,1,Background Speaker,Ryan Blake
20030605_fa_01,1365,1,Background Speaker,Ryan Blake
20131003_fa_01,1185,1,Terry Gross,Ryan Blake
19990107_fa_01,353,1,Silence,Ryan Blake
20100226_fa_02,113,1,Background Speaker,Ryan Blake
20131003_fa_01,85,1,Terry Gross,Ryan Blake
20080909_fa_01,46,1,Terry Gross,Ryan Blake
20080909_fa_01,1814,1,Background Speaker,Ryan Blake
19990331_fa_01,2187,1,Background Speaker,Ryan Blake
19990107_fa_02,998,1,Background Speaker,Ryan Blake
20131003_fa_01,878,1,Background Speaker,Ryan Blake
19990107_fa_01,1102,1,Background Speaker,Ryan Blake
20080909_fa_01,1840,1,Background Speaker,Ryan Blake
20030605_fa_01,1678,1,Background Speaker,Ryan Blake
20130603_fa_01,894,1,Background Speaker,Ryan Blake
20151212_fa_01,2597,1,Background Speaker,Ryan Blake
19930423_fa_02,649,1,Background Speaker,Ryan Blake
20030605_fa_01,1339,1,Background Speaker,Ryan Blake
19940707_fa_02,652,1,Silence,Ryan Blake
19940707_fa_01,464,1,Background Speaker,Ryan Blake
20050328_fa_02,222,1,Background Speaker,Ryan Blake
19930423_fa_01,320,1,Background Speaker,Ryan Blake
20050328_fa_03,48,1,Background Speaker,Ryan Blake
19930423_fa_01,582,1,Terry Gross,Ryan Blake
20130606_fa_01,1418,1,Background Speaker,Ryan Blake
20131003_fa_01,748,1,Background Speaker,Ryan Blake
20040519_fa_01,2970,1,Music,Ryan Blake
20130606_fa_01,2184,1,Background Speaker,Ryan Blake
19990107_fa_01,958,1,Background Speaker,Ryan Blake
19940707_fa_02,443,1,Background Speaker,Ryan Blake
20151212_fa_01,1450,1,Background Speaker,Ryan Blake
19940707_fa_02,735,1,Background Speaker,Ryan Blake
20131003_fa_01,179,1,Background Speaker,Ryan Blake
20030605_fa_02,386,1,Background Speaker,Ryan Blake
20030605_fa_02,10,1,Terry Gross,Ryan Blake
20030605_fa_02,25,1,Terry Gross,Ryan Blake
19930423_fa_01,897,1,Background Speaker,Ryan Blake
20100226_fa_01,863,1,Music,Ryan Blake
19990331_fa_01,183,1,Background Speaker,Ryan Blake
20030605_fa_02,59,1,Background Speaker,Ryan Blake
20100226_fa_01,500,1,Background Speaker,Ryan Blake
20100226_fa_02,149,1,Terry Gross,Ryan Blake
20130603_fa_01,1477,1,Background Speaker,Ryan Blake
19940707_fa_01,1055,1,Terry Gross,Ryan Blake
19940707_fa_02,798,1,Terry Gross,Ryan Blake
20131003_fa_01,2271,1,Background Speaker,Ryan Blake
20100226_fa_02,332,1,Terry Gross,Ryan Blake
20040519_fa_01,1332,1,Music,Ryan Blake
20131003_fa_01,1466,1,Background Speaker,Ryan Blake
20050328_fa_03,463,1,Terry Gross,Ryan Blake
20050328_fa_02,496,1,Background Speaker,Ryan Blake
20050328_fa_02,114,1,Background Speaker,Ryan Blake
19990107_fa_01,1196,1,Not Sure,Ryan Blake
20100226_fa_01,832,1,Silence,Ryan Blake
19940707_fa_01,952,1,Background Speaker,Ryan Blake
19940707_fa_02,603,1,Multiple Speakers,Ryan Blake
20151212_fa_01,567,1,Not Sure,Ryan Blake
20131003_fa_01,2451,1,Background Speaker,Ryan Blake
20100226_fa_01,822,1,Background Speaker,Ryan Blake
19940707_fa_01,1045,1,Background Speaker,Ryan Blake
20050328_fa_02,56,1,Multiple Speakers,Ryan Blake
19990331_fa_01,2321,1,Background Speaker,Ryan Blake
20050328_fa_02,38,1,Terry Gross,Ryan Blake
19930423_fa_01,1005,1,Background Speaker,Ryan Blake
20091102_fa_01,54,1,Terry Gross,Ryan Blake
20151212_fa_01,451,1,Terry Gross,Ryan Blake
19990331_fa_01,1840,1,Terry Gross,Ryan Blake
20050328_fa_02,192,1,Terry Gross,Ryan Blake
20040519_fa_01,2742,1,Music,Ryan Blake
19940707_fa_01,754,1,Background Speaker,Ryan Blake
20080909_fa_01,793,1,Background Speaker,Ryan Blake
19930423_fa_01,791,1,Terry Gross,Ryan Blake
20130606_fa_01,2003,1,Background Speaker,Ryan Blake
20130603_fa_01,1135,1,Background Speaker,Ryan Blake
20030605_fa_02,512,1,Background Speaker,Ryan Blake
19940707_fa_02,649,1,Background Speaker,Ryan Blake
20050328_fa_03,270,1,Background Speaker,Ryan Blake
20040519_fa_01,799,1,Background Speaker,Ryan Blake
20050328_fa_02,279,1,Terry Gross,Ryan Blake
20130603_fa_01,1231,1,Terry Gross,Ryan Blake
19930423_fa_01,972,1,Background Speaker,Ryan Blake
20080909_fa_01,705,1,Terry Gross,Ryan Blake
19990107_fa_01,983,1,Background Speaker,Ryan Blake
20030605_fa_01,1258,1,Background Speaker,Ryan Blake
19990107_fa_01,638,1,Background Speaker,Ryan Blake
20030605_fa_02,323,1,Background Speaker,Ryan Blake
20131003_fa_01,744,1,Not Sure,Ryan Blake
20100226_fa_01,1452,1,Background Speaker,Ryan Blake
20080909_fa_01,2089,1,Background Speaker,Ryan Blake
19990107_fa_02,971,1,Background Speaker,Ryan Blake
20091102_fa_01,17,1,Terry Gross,Ryan Blake
20080909_fa_01,1082,1,Terry Gross,Ryan Blake
20131003_fa_01,1906,1,Background Speaker,Ryan Blake
20030605_fa_02,850,1,Background Speaker,Ryan Blake
20040519_fa_01,1041,1,Music,Ryan Blake
20100226_fa_02,780,1,Background Speaker,Ryan Blake
19990107_fa_01,42,1,Background Speaker,Ryan Blake
20131003_fa_01,1157,1,Terry Gross,Ryan Blake
19930423_fa_01,36,1,Terry Gross,Ryan Blake
19990107_fa_02,326,1,Background Speaker,Ryan Blake
20131003_fa_01,1499,1,Background Speaker,Ryan Blake
19940707_fa_01,1030,1,Background Speaker,Ryan Blake
20091102_fa_01,210,1,Background Speaker,Ryan Blake
20030605_fa_02,884,1,Background Speaker,Ryan Blake
19990107_fa_01,1208,1,Background Speaker,Ryan Blake
20050328_fa_03,170,1,Background Speaker,Ryan Blake
19930423_fa_01,827,1,Background Speaker,Ryan Blake
19930423_fa_01,545,1,Background Speaker,Ryan Blake
19940707_fa_02,477,1,Background Speaker,Ryan Blake
20040519_fa_01,1024,1,Background Speaker,Ryan Blake
19930423_fa_01,1151,1,Background Speaker,Ryan Blake
19940707_fa_01,235,1,Background Speaker,Ryan Blake
19990107_fa_02,538,1,Background Speaker,Ryan Blake
20151212_fa_01,420,1,Background Speaker,Ryan Blake
19990331_fa_01,1238,1,Background Speaker,Ryan Blake
19930423_fa_01,7,1,Terry Gross,Ryan Blake
19990331_fa_01,1689,1,Background Speaker,Ryan Blake
19940707_fa_02,859,1,Background Speaker,Ryan Blake
20130606_fa_01,256,1,Background Speaker,Ryan Blake
19940707_fa_01,469,1,Background Speaker,Ryan Blake
20130606_fa_01,1978,1,Terry Gross,Ryan Blake
20050328_fa_02,64,1,Multiple Speakers,Ryan Blake
20050328_fa_03,495,1,Background Speaker,Ryan Blake
20091102_fa_01,64,1,Background Speaker,Ryan Blake
19940707_fa_02,887,1,Background Speaker,Ryan Blake
20131003_fa_01,1106,1,Background Speaker,Ryan Blake
20040519_fa_01,975,1,Background Speaker,Ryan Blake
20050328_fa_03,262,1,Background Speaker,Ryan Blake
20080909_fa_01,1051,1,Background Speaker,Ryan Blake
20130603_fa_01,1972,1,Background Speaker,Ryan Blake
20131003_fa_01,1195,1,Background Speaker,Ryan Blake
20100226_fa_02,423,1,Not Sure,Ryan Blake
20050328_fa_02,149,1,Terry Gross,Ryan Blake
19990331_fa_01,124,1,Multiple Speakers,Ryan Blake
20080909_fa_01,886,1,Background Speaker,Ryan Blake
19930423_fa_02,422,1,Terry Gross,Ryan Blake
20131003_fa_01,1326,1,Silence,Ryan Blake
20091102_fa_01,1104,1,Background Speaker,Ryan Blake
20040519_fa_01,2486,1,Terry Gross,Ryan Blake
19990331_fa_01,506,1,Background Speaker,Ryan Blake
20100226_fa_02,3,1,Terry Gross,Ryan Blake
20100226_fa_02,213,1,Background Speaker,Ryan Blake
19990107_fa_01,321,1,Background Speaker,Ryan Blake
19930423_fa_01,829,1,Background Speaker,Ryan Blake
20030605_fa_01,1231,1,Background Speaker,Ryan Blake
20130603_fa_01,2656,1,Music,Ryan Blake
20130606_fa_01,1810,1,Background Speaker,Ryan Blake
19990107_fa_01,1081,1,Background Speaker,Ryan Blake
20050328_fa_03,289,1,Terry Gross,Ryan Blake
20100226_fa_02,396,1,Terry Gross,Ryan Blake
19930423_fa_01,155,1,Background Speaker,Ryan Blake
20080909_fa_01,797,1,Background Speaker,Ryan Blake
20151212_fa_01,1310,1,Multiple Speakers,Ryan Blake
20091102_fa_01,224,1,Background Speaker,Ryan Blake
19990107_fa_02,383,1,Background Speaker,Ryan Blake
20100226_fa_01,1275,1,Music,Ryan Blake
19990107_fa_02,656,1,Background Speaker,Ryan Blake
19990107_fa_02,35,1,Music,Ryan Blake
19940707_fa_02,467,1,Background Speaker,Ryan Blake
20080909_fa_01,25,1,Terry Gross,Ryan Blake
20130603_fa_01,681,1,Background Speaker,Ryan Blake
20040519_fa_01,855,1,Music,Ryan Blake
20030605_fa_01,698,1,Background Speaker,Ryan Blake
20151212_fa_01,1969,1,Silence,Ryan Blake
20130603_fa_01,1144,1,Background Speaker,Ryan Blake
20030605_fa_02,459,1,Background Speaker,Ryan Blake
20050328_fa_02,314,1,Background Speaker,Ryan Blake
20151212_fa_01,1979,1,Background Speaker,Ryan Blake
20091102_fa_01,1322,1,Background Speaker,Ryan Blake
20050328_fa_03,161,1,Background Speaker,Ryan Blake
20030605_fa_01,992,1,Background Speaker,Ryan Blake
20130603_fa_01,541,1,Background Speaker,Ryan Blake
20130603_fa_01,86,1,Terry Gross,Ryan Blake
20100226_fa_02,755,1,Terry Gross,Ryan Blake
20130606_fa_01,1976,1,Terry Gross,Ryan Blake
19990107_fa_01,375,1,Background Speaker,Ryan Blake
20030605_fa_01,225,1,Background Speaker,Ryan Blake
20091102_fa_01,1810,1,Background Speaker,Ryan Blake
19990107_fa_01,610,1,Background Speaker,Ryan Blake
20030605_fa_01,1607,1,Terry Gross,Ryan Blake
20030605_fa_01,1733,1,Background Speaker,Ryan Blake
20030605_fa_02,451,1,Background Speaker,Ryan Blake
19940707_fa_01,859,1,Background Speaker,Ryan Blake
20091102_fa_01,1420,1,Background Speaker,Ryan Blake
20100226_fa_02,305,1,Music,Ryan Blake
20030605_fa_01,293,1,Background Speaker,Ryan Blake
