Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-41-23hx3qnx.h264,93.0,339.0,Classical Music,WGBH Consultant
cpb-aacip-41-23hx3qnx.h264,442.0,224.0,Classical Music,WGBH Consultant
cpb-aacip-41-23hx3qnx.h264,680.0,139.0,Classical Music,WGBH Consultant
cpb-aacip-41-23hx3qnx.h264,1027.0,347.0,Classical Music,WGBH Consultant
cpb-aacip-211-13zs7sf0,868.0,622.0,Classical Music,WGBH Consultant
cpb-aacip-211-13zs7sf0,1511.0,553.0,Classical Music,WGBH Consultant
cpb-aacip-211-13zs7sf0,2080.0,195.0,Classical Music,WGBH Consultant
cpb-aacip-211-13zs7sf0,2292.0,613.0,Classical Music,WGBH Consultant
cpb-aacip-211-708w9xxs,260.0,401.0,Classical Music,WGBH Consultant
cpb-aacip-211-708w9xxs,666.0,308.0,Classical Music,WGBH Consultant
cpb-aacip-402-79573wk4,505.0,463.0,Classical Music,WGBH Consultant
cpb-aacip-402-79573wk4,985.0,440.0,Classical Music,WGBH Consultant
cpb-aacip-402-79573wk4,1444.0,414.0,Classical Music,WGBH Consultant
cpb-aacip-402-79573wk4,1892.0,338.0,Classical Music,WGBH Consultant
cpb-aacip-15-795742xd,14.0,151.0,Classical Music,WGBH Consultant
cpb-aacip-15-795742xd,175.0,135.0,Classical Music,WGBH Consultant
cpb-aacip-211-26xwdnn9,82.0,157.0,Classical Music,WGBH Consultant
cpb-aacip-211-26xwdnn9,250.0,145.0,Classical Music,WGBH Consultant
cpb-aacip-35-25x69s15,227.0,255.0,Classical Music,WGBH Consultant
cpb-aacip-35-25x69s15,498.0,246.0,Classical Music,WGBH Consultant
cpb-aacip-35-25x69s15,1240.0,164.0,Classical Music,WGBH Consultant
cpb-aacip-35-25x69s15,1701.0,289.0,Classical Music,WGBH Consultant
cpb-aacip-15-cc0tq5rj5c__barcode345065_.h264,287.0,1111.0,Classical Music,WGBH Consultant
cpb-aacip-15-cc0tq5rj5c__barcode345065_.h264,1444.0,692.0,Classical Music,WGBH Consultant
cpb-aacip-15-c24qj7824r__barcode345061_.h264,196.0,493.0,Classical Music,WGBH Consultant
cpb-aacip-15-c24qj7824r__barcode345061_.h264,935.0,525.0,Classical Music,WGBH Consultant
cpb-aacip-211-65v6x9ft,124.0,132.0,Classical Music,WGBH Consultant
cpb-aacip-211-65v6x9ft,267.0,129.0,Classical Music,WGBH Consultant
cpb-aacip-211-65v6x9ft,403.0,129.0,Classical Music,WGBH Consultant
cpb-aacip-211-64thtmxn,49.0,481.0,Classical Music,WGBH Consultant
cpb-aacip-211-64thtmxn,542.0,265.0,Classical Music,WGBH Consultant
cpb-aacip-500-c824g85z,6.0,596.0,Classical Music,WGBH Consultant
cpb-aacip-500-3x83p37z,120.0,318.0,Classical Music,WGBH Consultant
cpb-aacip-500-3x83p37z,445.0,577.0,Classical Music,WGBH Consultant
