Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-37-94vhhz9j.h264,586.0,2.0,George HW Bush,WGBH Consultant
cpb-aacip-37-94vhhz9j.h264,590.0,1.0,George HW Bush,WGBH Consultant
cpb-aacip-37-94vhhz9j.h264,594.0,3.0,George HW Bush,WGBH Consultant
cpb-aacip-37-569325t0.h264,284.0,58.0,George HW Bush,WGBH Consultant
cpb-aacip-37-569325t0.h264,677.0,41.0,George HW Bush,WGBH Consultant
cpb-aacip-37-569325t0.h264,1266.0,78.0,George HW Bush,WGBH Consultant
cpb-aacip-37-83kwhj7b.h264,591.0,41.0,George HW Bush,WGBH Consultant
cpb-aacip-37-83kwhj7b.h264,955.0,35.0,George HW Bush,WGBH Consultant
cpb-aacip-37-83kwhj7b.h264,1319.0,44.0,George HW Bush,WGBH Consultant
cpb-aacip-41-98mcw559.h264,326.0,110.0,George HW Bush,WGBH Consultant
cpb-aacip-41-98mcw559.h264,503.0,32.0,George HW Bush,WGBH Consultant
cpb-aacip-41-246q5q4v.h264,27.0,9.0,George HW Bush,WGBH Consultant
cpb-aacip-41-246q5q4v.h264,61.0,16.0,George HW Bush,WGBH Consultant
cpb-aacip-41-246q5q4v.h264,147.0,12.0,George HW Bush,WGBH Consultant
cpb-aacip-41-3331zwts.h264,1.0,31.0,George HW Bush,WGBH Consultant
cpb-aacip-41-3331zwts.h264,40.0,105.0,George HW Bush,WGBH Consultant
cpb-aacip-41-35t771n2.h264,757.0,51.0,George HW Bush,WGBH Consultant
cpb-aacip-41-35t771n2.h264,814.0,38.0,George HW Bush,WGBH Consultant
cpb-aacip-37-72b8h3np.h264,226.0,123.0,George HW Bush,WGBH Consultant
cpb-aacip-37-72b8h3np.h264,369.0,59.0,George HW Bush,WGBH Consultant
cpb-aacip-37-08hdrb0b.h264,94.0,71.0,George HW Bush,WGBH Consultant
cpb-aacip-37-08hdrb0b.h264,470.0,102.0,George HW Bush,WGBH Consultant
cpb-aacip-37-08hdrb0b.h264,1698.0,123.0,George HW Bush,WGBH Consultant
cpb-aacip-37-6341p24d.h264,255.0,13.0,George HW Bush,WGBH Consultant
cpb-aacip-37-6341p24d.h264,352.0,24.0,George HW Bush,WGBH Consultant
cpb-aacip-37-6341p24d.h264,382.0,22.0,George HW Bush,WGBH Consultant
cpb-aacip-37-6341p24d.h264,419.0,46.0,George HW Bush,WGBH Consultant
cpb-aacip-37-92g79qqq.h264,271.0,120.0,George HW Bush,WGBH Consultant
cpb-aacip-37-92g79qqq.h264,944.0,114.0,George HW Bush,WGBH Consultant
cpb-aacip-37-71ngfb1k.h264,130.0,128.0,George HW Bush,WGBH Consultant
cpb-aacip-37-71ngfb1k.h264,1591.0,99.0,George HW Bush,WGBH Consultant
cpb-aacip-37-07tmpjqg.h264,456.0,111.0,George HW Bush,WGBH Consultant
cpb-aacip-37-07tmpjqg.h264,653.0,92.0,George HW Bush,WGBH Consultant
cpb-aacip-37-203xsnjw.h264,243.0,66.0,George HW Bush,WGBH Consultant
cpb-aacip-37-203xsnjw.h264,346.0,38.0,George HW Bush,WGBH Consultant
cpb-aacip-37-203xsnjw.h264,740.0,80.0,George HW Bush,WGBH Consultant
cpb-aacip-37-322bvwbk.h264,909.0,71.0,George HW Bush,WGBH Consultant
cpb-aacip-37-322bvwbk.h264,1016.0,79.0,George HW Bush,WGBH Consultant
cpb-aacip-37-322bvwbk.h264,1498.0,83.0,George HW Bush,WGBH Consultant
cpb-aacip-15-9ks6j45g__105201_.h264,37.0,15.0,George HW Bush,WGBH Consultant
cpb-aacip-197-407wm9nz.h264,263.0,42.0,George HW Bush,WGBH Consultant
cpb-aacip-197-407wm9nz.h264,326.0,27.0,George HW Bush,WGBH Consultant
cpb-aacip-197-407wm9nz.h264,364.0,22.0,George HW Bush,WGBH Consultant
cpb-aacip-15-9n58ck8k__107257_.h264,164.0,3.0,George HW Bush,WGBH Consultant
cpb-aacip-15-n58cf9jh22__barcode22644_.h264,425.0,115.0,George HW Bush,WGBH Consultant
