Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-15-mk6542jm5k__barcode283693_.h264,2176.0,27.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-mk6542jm5k__barcode283693_.h264,2488.0,29.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-mk6542jm5k__barcode283693_.h264,2931.0,41.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-7h1dj58m4z__barcode283690_.h264,533.0,17.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-7h1dj58m4z__barcode283690_.h264,1525.0,29.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-7h1dj58m4z__barcode283690_.h264,1688.0,24.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-7h1dj58m4z__barcode283690_.h264,1813.0,32.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-7h1dj58m4z__barcode283690_.h264,2234.0,90.0,Henry Kissinger,WGBH Consultant
cpb-aacip-75-88qbzvhx.h264,2962.0,14.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-m61bk17127__ABC73849_.h264,11.0,33.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-m61bk17127__ABC73849_.h264,54.0,104.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-73bzkx71,210.0,44.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-73bzkx71,262.0,22.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-73bzkx71,295.0,1431.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-86b2rtr9,78.0,15.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-86b2rtr9,104.0,1530.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-19s1rxbr,606.0,261.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-19s1rxbr,902.0,17.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-19s1rxbr,921.0,88.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-19s1rxbr,1044.0,90.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-19s1rxbr,1150.0,74.0,Henry Kissinger,WGBH Consultant
cpb-aacip-153-44bp0159,30.0,264.0,Henry Kissinger,WGBH Consultant
cpb-aacip-153-44bp0159,351.0,87.0,Henry Kissinger,WGBH Consultant
cpb-aacip-153-44bp0159,474.0,91.0,Henry Kissinger,WGBH Consultant
cpb-aacip-153-44bp0159,581.0,75.0,Henry Kissinger,WGBH Consultant
cpb-aacip-153-44bp0159,708.0,99.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-81jhbb7p,197.0,95.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-81jhbb7p,307.0,62.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-81jhbb7p,389.0,95.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-81jhbb7p,499.0,56.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-81jhbb7p,579.0,133.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-3r0pr7mt1w__barcode301262-1_.h264,97.0,138.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-3r0pr7mt1w__barcode301262-1_.h264,244.0,58.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-3r0pr7mt1w__barcode301262-1_.h264,313.0,82.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-3r0pr7mt1w__barcode301262-1_.h264,400.0,116.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-3r0pr7mt1w__barcode301262-1_.h264,758.0,141.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-9351cnvv,242.0,3041.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-73pvmv41,7.0,646.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-73pvmv41,660.0,41.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-73pvmv41,720.0,226.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-73pvmv41,977.0,123.0,Henry Kissinger,WGBH Consultant
cpb-aacip-129-558czjss.h264,132.0,35.0,Henry Kissinger,WGBH Consultant
cpb-aacip-129-558czjss.h264,182.0,56.0,Henry Kissinger,WGBH Consultant
cpb-aacip-129-558czjss.h264,250.0,42.0,Henry Kissinger,WGBH Consultant
cpb-aacip-129-558czjss.h264,305.0,47.0,Henry Kissinger,WGBH Consultant
cpb-aacip-129-558czjss.h264,363.0,87.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-10wpzr14,121.0,79.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-10wpzr14,234.0,41.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-10wpzr14,305.0,36.0,Henry Kissinger,WGBH Consultant
cpb-aacip-15-10wpzr14,441.0,44.0,Henry Kissinger,WGBH Consultant
cpb-aacip-394-93ttff2h.h264,393.0,100.0,Henry Kissinger,WGBH Consultant
cpb-aacip-394-93ttff2h.h264,503.0,45.0,Henry Kissinger,WGBH Consultant
cpb-aacip-394-93ttff2h.h264,556.0,83.0,Henry Kissinger,WGBH Consultant
cpb-aacip-394-93ttff2h.h264,658.0,130.0,Henry Kissinger,WGBH Consultant
