Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-114-76rxwn71.h264,1515.0,14.0,Hillary Clinton,WGBH Consultant
cpb-aacip-503-wm13n2192p__NHPR95177,2.0,69.0,Hillary Clinton,WGBH Consultant
cpb-aacip-503-wm13n2192p__NHPR95177,93.0,110.0,Hillary Clinton,WGBH Consultant
cpb-aacip-503-wm13n2192p__NHPR95177,225.0,58.0,Hillary Clinton,WGBH Consultant
cpb-aacip-16-95w6mq2m.h264,404.0,31.0,Hillary Clinton,WGBH Consultant
cpb-aacip-16-95w6mq2m.h264,442.0,49.0,Hillary Clinton,WGBH Consultant
cpb-aacip-16-95w6mq2m.h264,501.0,191.0,Hillary Clinton,WGBH Consultant
cpb-aacip-503-zk55d8pb1z__NHPR95113,243.0,29.0,Hillary Clinton,WGBH Consultant
cpb-aacip-503-zk55d8pb1z__NHPR95113,281.0,169.0,Hillary Clinton,WGBH Consultant
cpb-aacip-503-zk55d8pb1z__NHPR95113,459.0,223.0,Hillary Clinton,WGBH Consultant
cpb-aacip-80-78gf2q17,311.0,65.0,Hillary Clinton,WGBH Consultant
cpb-aacip-80-78gf2q17,383.0,47.0,Hillary Clinton,WGBH Consultant
cpb-aacip-80-78gf2q17,438.0,62.0,Hillary Clinton,WGBH Consultant
cpb-aacip-80-78gf2q17,510.0,67.0,Hillary Clinton,WGBH Consultant
cpb-aacip-80-78gf2q17,583.0,14.0,Hillary Clinton,WGBH Consultant
cpb-aacip-129-278sfdn9.h264,169.0,21.0,Hillary Clinton,WGBH Consultant
cpb-aacip-129-278sfdn9.h264,643.0,74.0,Hillary Clinton,WGBH Consultant
cpb-aacip-129-278sfdn9.h264,738.0,64.0,Hillary Clinton,WGBH Consultant
cpb-aacip-129-278sfdn9.h264,810.0,128.0,Hillary Clinton,WGBH Consultant
cpb-aacip-80-322bw970,492.0,72.0,Hillary Clinton,WGBH Consultant
cpb-aacip-80-322bw970,616.0,9.0,Hillary Clinton,WGBH Consultant
