Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,106.579591836,20.972244897,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,128.499229024,94.08063492,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,223.422403628,42.312834467,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,269.026394557,1.346757369,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,271.580589569,4.783310657,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,281.240090702,99.223038548,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,434.491791383,66.269478458,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,505.266213151,7.709024943,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,522.263219954,103.668843537,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,629.307210884,1.8,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,673.657324263,67.622494331,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,744.385306122,104.399546485,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,906.553469387,141.6,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,1054.418140589,22.885532879,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,1079.402811791,33.994013605,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,1130.811791383,51.291156462,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,1188.44371882,44.13015873,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,1262.933333333,74.987845804,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,1358.645986394,1.068117913,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,1374.481995464,101.569795918,James Baldwin,Ryan Blake
cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264,1477.578594104,3.575873015,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,5.76,17.2,Applause,Ryan Blake
cpb-aacip-15-687h4jgd,24.704,119,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,153.12,1147.4,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,1304.16,54.6,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,1362,483.2,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,1848.6,475.2,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,2325.077333333,35.498666666,Applause,Ryan Blake
cpb-aacip-15-687h4jgd,2381.056,56.6,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,2452.992,1.8,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,2459.562666666,25.6,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,2507.946666666,126.829333333,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,2656.74,203,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,2861.52,7.6,Applause,Ryan Blake
cpb-aacip-15-687h4jgd,2887.2,1.2,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,2891.34,71.6,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,2963.28,6.6,Applause,Ryan Blake
cpb-aacip-15-687h4jgd,2989.02,86.8,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,3084,37.8,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,3151.8,15.2,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,3167.88,4.4,Applause,Ryan Blake
cpb-aacip-15-687h4jgd,3189.2,50.4,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,3258.6,54,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,3342.42,93.6,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,3469.62,13.6,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,3487.62,55.8,James Baldwin,Ryan Blake
cpb-aacip-15-687h4jgd,3545.76,8.8,Applause,Ryan Blake
cpb-aacip-15-687h4jgd,3570,11.64,Applause,Ryan Blake
cpb-aacip-15-719kdkmx.h264,297.726258503,22.105396825,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,320.714013605,251.876371882,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,575.151020408,1.371428571,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,628.506122449,75.8,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,714.318367347,103.457142857,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,819.853061224,3.591836735,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,865.697959184,175.546938776,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,1099.036734694,141.040816327,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,1246.563265306,22.779591837,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,1271.314285714,34.155102041,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,1322.448979592,51.171428571,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,1380.571428571,44.212244898,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,1454.955102041,74.502040816,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,1566.497959184,106.081632653,James Baldwin,Ryan Blake
cpb-aacip-15-719kdkmx.h264,1689.665306122,1.2,James Baldwin,Ryan Blake
cpb-aacip-15-7d2q52fg50__16180-2008_04_10_.h264,881.110204082,10.4,Applause,Ryan Blake
cpb-aacip-15-7d2q52fg50__16180-2008_04_10_.h264,1039.412244898,6.66122449,Applause,Ryan Blake
cpb-aacip-15-83xsjk31,850.005333333,50.6,James Baldwin,Ryan Blake
cpb-aacip-15-83xsjk31,903.57,83.408,James Baldwin,Ryan Blake
cpb-aacip-15-83xsjk31,990.2,215,James Baldwin,Ryan Blake
cpb-aacip-15-83xsjk31,1212.4,32.2,James Baldwin,Ryan Blake
cpb-aacip-15-83xsjk31,1266.986666667,227.8,James Baldwin,Ryan Blake
cpb-aacip-15-83xsjk31,1504.554666667,138.2,James Baldwin,Ryan Blake
cpb-aacip-15-83xsjk31,1653.504,66.2,James Baldwin,Ryan Blake
