Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-37-49g4fbxk.h264,74.0,1014.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-9351cnrs,75.0,124.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-9351cnrs,210.0,64.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-086348gj6k__barcode301449_story5_.h264,475.0,170.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-7w6736m55n__barcode301441_story2_.h264,7.0,316.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-81jhbbd4,2170.0,14.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-81jhbbd4,2216.0,228.0,Jimmy Carter,WGBH Consultant
cpb-aacip-55-tx3513vg39__cpb-aacip-55-225b0mbx.mpeg2_.h264,339.0,102.0,Jimmy Carter,WGBH Consultant
cpb-aacip-55-tx3513vg39__cpb-aacip-55-225b0mbx.mpeg2_.h264,460.0,102.0,Jimmy Carter,WGBH Consultant
cpb-aacip-80-59189r4r,512.0,96.0,Jimmy Carter,WGBH Consultant
cpb-aacip-80-59189r4r,621.0,72.0,Jimmy Carter,WGBH Consultant
cpb-aacip-37-73bzks37.h264,1741.0,180.0,Jimmy Carter,WGBH Consultant
cpb-aacip-37-73bzks37.h264,1930.0,271.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-dz02z1300c__barcode49891_clip1_.h264,1.0,319.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-g44hm52r73__barcode50010_clip2_.h264,1.0,601.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-br8mc8rk58__barcode49892_.h264,1.0,241.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-br8mc8rk58__barcode49892_.h264,246.0,159.0,Jimmy Carter,WGBH Consultant
cpb-aacip-85-2259zz2w.h264,307.0,1254.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-6688g8fk4p__barcode49895_clip2_.h264,1.0,100.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-6688g8fk4p__barcode49895_clip2_.h264,123.0,35.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-930ns0m14z__barcode50014_.h264,182.0,632.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-930ns0m14z__barcode50014_.h264,832.0,376.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-v11vd6pd5g__barcode50013_.h264,1.0,649.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-v11vd6pd5g__barcode50013_.h264,666.0,133.0,Jimmy Carter,WGBH Consultant
cpb-aacip-15-w66930p87w__barcode49888_clip2_.h264,256.0,130.0,Jimmy Carter,WGBH Consultant
cpb-aacip-80-43nvxnx4,4069.0,98.0,Jimmy Carter,WGBH Consultant
cpb-aacip-80-43nvxnx4,4196.0,50.0,Jimmy Carter,WGBH Consultant
cpb-aacip-37-86b2rpsz.h264,713.0,12.0,Jimmy Carter,WGBH Consultant
