Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-37-02q575ws.h264,1767.0,88.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-02q575ws.h264,1867.0,105.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-02q575ws.h264,1981.0,35.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-10wpzkh3.h264,323.0,16.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-10wpzkh3.h264,351.0,21.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-10wpzkh3.h264,412.0,19.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-10wpzkh3.h264,436.0,41.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-8605qskd.h264,349.0,161.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-8605qskd.h264,544.0,69.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-8605qskd.h264,905.0,61.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-8605qskd.h264,2939.0,70.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-94vhhz9j.h264,1276.0,165.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-94vhhz9j.h264,1452.0,80.0,Ronald Reagan,WGBH Consultant
cpb-aacip-15-94hmh6vt.h264,79.0,107.0,Ronald Reagan,WGBH Consultant
cpb-aacip-15-94hmh6vt.h264,239.0,24.0,Ronald Reagan,WGBH Consultant
cpb-aacip-15-94hmh6vt.h264,337.0,31.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-5370s5gq.h264,185.0,104.0,Ronald Reagan,WGBH Consultant
cpb-aacip-37-5370s5gq.h264,292.0,58.0,Ronald Reagan,WGBH Consultant
cpb-aacip-15-04dncrzg,12.0,82.0,Ronald Reagan,WGBH Consultant
cpb-aacip-15-04dncrzg,123.0,35.0,Ronald Reagan,WGBH Consultant
cpb-aacip-15-04dncrzg,168.0,101.0,Ronald Reagan,WGBH Consultant
