Media file basename,Start time,Duration,Label,Labeled by
cpb-aacip-375-375tb7ch,47.0,487.0,Spanish Language,WGBH Consultant
cpb-aacip-375-375tb7ch,632.0,64.0,Spanish Language,WGBH Consultant
cpb-aacip-375-182jmb0n,241.0,59.0,Spanish Language,WGBH Consultant
cpb-aacip-375-182jmb0n,303.0,165.0,Spanish Language,WGBH Consultant
cpb-aacip-375-1937q06m,7.0,341.0,Spanish Language,WGBH Consultant
cpb-aacip-375-225b00js,186.0,1617.0,Spanish Language,WGBH Consultant
cpb-aacip-375-86nzsjrx,71.0,1679.0,Spanish Language,WGBH Consultant
cpb-aacip-375-86nzsjrx,1810.0,1672.0,Spanish Language,WGBH Consultant
cpb-aacip-375-19s1rs0s,7.0,945.0,Spanish Language,WGBH Consultant
cpb-aacip-375-44bnzzn8,27.0,682.0,Spanish Language,WGBH Consultant
cpb-aacip-375-44bnzzn8,719.0,153.0,Spanish Language,WGBH Consultant
cpb-aacip-375-44bnzzn8,889.0,156.0,Spanish Language,WGBH Consultant
cpb-aacip-375-9351cgs9,54.0,1634.0,Spanish Language,WGBH Consultant
cpb-aacip-375-92g79pwr,101.0,23.0,Spanish Language,WGBH Consultant
cpb-aacip-375-92g79pwr,350.0,56.0,Spanish Language,WGBH Consultant
cpb-aacip-375-92g79pwr,472.0,489.0,Spanish Language,WGBH Consultant
cpb-aacip-375-12m64139,7.0,27.0,Spanish Language,WGBH Consultant
cpb-aacip-375-12m64139,118.0,319.0,Spanish Language,WGBH Consultant
cpb-aacip-375-816m98mr,42.0,242.0,Spanish Language,WGBH Consultant
cpb-aacip-375-816m98mr,367.0,212.0,Spanish Language,WGBH Consultant
cpb-aacip-375-78tb31jg,34.0,105.0,Spanish Language,WGBH Consultant
cpb-aacip-375-78tb31jg,173.0,113.0,Spanish Language,WGBH Consultant
cpb-aacip-375-78tb31jg,361.0,59.0,Spanish Language,WGBH Consultant
cpb-aacip-375-085hqf3g,27.0,259.0,Spanish Language,WGBH Consultant
cpb-aacip-375-085hqf3g,351.0,255.0,Spanish Language,WGBH Consultant
cpb-aacip-375-31cjt32n,28.0,275.0,Spanish Language,WGBH Consultant
cpb-aacip-375-31cjt32n,352.0,223.0,Spanish Language,WGBH Consultant
cpb-aacip-375-612ngnwn,35.0,190.0,Spanish Language,WGBH Consultant
cpb-aacip-375-612ngnwn,233.0,96.0,Spanish Language,WGBH Consultant
cpb-aacip-375-171vhms9,37.0,276.0,Spanish Language,WGBH Consultant
cpb-aacip-375-171vhms9,379.0,161.0,Spanish Language,WGBH Consultant
cpb-aacip-375-60qrfs13,35.0,246.0,Spanish Language,WGBH Consultant
cpb-aacip-375-60qrfs13,337.0,131.0,Spanish Language,WGBH Consultant
cpb-aacip-375-35gb5scr,50.0,46.0,Spanish Language,WGBH Consultant
cpb-aacip-375-35gb5scr,145.0,251.0,Spanish Language,WGBH Consultant
cpb-aacip-375-289gj29q,107.0,259.0,Spanish Language,WGBH Consultant
cpb-aacip-375-73pvmnh6,35.0,96.0,Spanish Language,WGBH Consultant
cpb-aacip-375-68x965qf,5.0,259.0,Spanish Language,WGBH Consultant
cpb-aacip-375-67jq2kvf,157.0,1085.0,Spanish Language,WGBH Consultant
cpb-aacip-375-51vdnmns,187.0,52.0,Spanish Language,WGBH Consultant
cpb-aacip-375-51vdnmns,383.0,31.0,Spanish Language,WGBH Consultant
cpb-aacip-375-51vdnmns,494.0,89.0,Spanish Language,WGBH Consultant
cpb-aacip-375-08hdrb7z,269.0,83.0,Spanish Language,WGBH Consultant
cpb-aacip-375-92t4bm6j,26.0,3496.0,Spanish Language,WGBH Consultant
cpb-aacip-375-182jm9g3,883.0,236.0,Spanish Language,WGBH Consultant
cpb-aacip-375-182jm9g3,1153.0,118.0,Spanish Language,WGBH Consultant
cpb-aacip-375-31qftzcd,52.0,1660.0,Spanish Language,WGBH Consultant
cpb-aacip-375-49t1g760,17.0,385.0,Spanish Language,WGBH Consultant
cpb-aacip-375-149p8h33,1806.0,31.0,Spanish Language,WGBH Consultant
cpb-aacip-375-149p8h33,1856.0,1533.0,Spanish Language,WGBH Consultant
cpb-aacip-375-86b2rnz8,37.0,455.0,Spanish Language,WGBH Consultant
cpb-aacip-375-86b2rnz8,556.0,472.0,Spanish Language,WGBH Consultant
cpb-aacip-375-51vdnm2g,19.0,848.0,Spanish Language,WGBH Consultant
cpb-aacip-375-51vdnm2g,1025.0,351.0,Spanish Language,WGBH Consultant
cpb-aacip-375-58bg7j40,13.0,1163.0,Spanish Language,WGBH Consultant
cpb-aacip-375-18dfn5z4,33.0,262.0,Spanish Language,WGBH Consultant
cpb-aacip-375-40xpp1v4,6.0,84.0,Spanish Language,WGBH Consultant
cpb-aacip-375-85n8pvqg,6.0,267.0,Spanish Language,WGBH Consultant
cpb-aacip-375-117m0fvb,15.0,509.0,Spanish Language,WGBH Consultant
cpb-aacip-375-117m0fvb,574.0,972.0,Spanish Language,WGBH Consultant
cpb-aacip-375-47dr80jc,7.0,1128.0,Spanish Language,WGBH Consultant
cpb-aacip-375-80vq8cp2,42.0,3444.0,Spanish Language,WGBH Consultant
cpb-aacip-375-80vq8cp2,3583.0,2191.0,Spanish Language,WGBH Consultant
cpb-aacip-375-94vhhzk6,33.0,1517.0,Spanish Language,WGBH Consultant
cpb-aacip-375-12z34xb9,85.0,1630.0,Spanish Language,WGBH Consultant
cpb-aacip-375-1937pznp,96.0,1597.0,Spanish Language,WGBH Consultant
cpb-aacip-375-44bp004c,6.0,421.0,Spanish Language,WGBH Consultant
cpb-aacip-375-20sqvf7w,10.0,3534.0,Spanish Language,WGBH Consultant
cpb-aacip-375-35t76p0c,8.0,2143.0,Spanish Language,WGBH Consultant
cpb-aacip-375-36tx9bgj,110.0,415.0,Spanish Language,WGBH Consultant
cpb-aacip-375-05fbg9k6,6.0,1612.0,Spanish Language,WGBH Consultant
cpb-aacip-375-55m90d59,33.0,483.0,Spanish Language,WGBH Consultant
cpb-aacip-375-44pk0vvt,6.0,139.0,Spanish Language,WGBH Consultant
cpb-aacip-375-44pk0vvt,334.0,55.0,Spanish Language,WGBH Consultant
cpb-aacip-375-881jx415,33.0,475.0,Spanish Language,WGBH Consultant
cpb-aacip-375-881jx415,542.0,606.0,Spanish Language,WGBH Consultant
cpb-aacip-375-70msbms0,41.0,1123.0,Spanish Language,WGBH Consultant
